"*";"base";"s"
"cn_Nabil.m";"納比爾";""
"cn_Nachin.m";"納欽";""
"cn_Nahabed.m";"納哈貝德";""
"cn_Naila.f";"娜伊菈";""
"cn_Naisa.m";"納伊薩";""
"cn_Najat.f";"娜嘉特";""
"cn_Najdah.m";"納賈達";""
"cn_Najm.m";"納賈姆";""
"cn_Nalkah.f";"娜爾坎";""
"cn_Namanje.f";"娜曼潔";""
"cn_Nameisis.m";"納米希斯";""
"cn_Namir.m";"納米爾";""
"cn_Nana.m";"納那";""
"cn_Nanker.m";"南科爾";""
"cn_Napo.m";"拿波";""
"cn_Nare.f";"南若";""
"cn_Narek.m";"納雷克";""
"cn_Narimantas.m";"納里曼塔斯";""
"cn_Narjis.f";"娜賈絲";""
"cn_Narjot.m";"納賈特";""
"cn_Nasir.m";"納什爾";""
"cn_Nasiruddin.m";"納什爾烏丁";""
"cn_Nasr.m";"納薩爾";""
"cn_Nasser.m";"納薩伊爾";""
"cn_Natela.f";"納特菈";""
"cn_Nateli.f";"納特莉";""
"cn_Natia.f";"納緹婭";""
"cn_Nawruz.m";"納魯茲";""
"cn_Nayan.m";"納延";""
"cn_Nazir.m";"納吉爾";""
"cn_Nechtan.m";"納克坦";""
"cn_Nectan.m";"奈克坦";""
"cn_Neel.f";"妮爾";""
"cn_Negudei.m";"納古帶";""
"cn_Nehanda.f";"奈德哈妲";""
"cn_Neidhart.m";"奈德哈特";""
"cn_Neil.m";"奈爾";""
"cn_Neill.m";"奈依爾";""
"cn_Neilos.m";"奈洛斯";""
"cn_Neophytos.m";"奈歐菲耶托斯";""
"cn_Nephon.m";"奈芬";""
"cn_Nergui.m";"奈古依";""
"cn_Nerone.m";"涅羅尼";""
"cn_Nerses.m";"奈西斯";""
"cn_Nes.m";"奈斯";""
"cn_Nest.f";"奈斯特";""
"cn_Nestoritsa.m";"奈斯特里薩";""
"cn_Netimeras.m";"涅提莫拉斯";""
"cn_Ni_matallah.m";"尼-馬塔拉哈";""
"cn_Niall.m";"尼奈爾";""
"cn_Niccolo.m";"尼可洛";""
"cn_Nicephorus.m";"尼斯芬羅斯";""
"cn_Nicholai.m";"尼克萊";""
"cn_Nicholas.m";"尼克拉斯";""
"cn_Nicholaus.m";"尼克勞斯";""
"cn_Nicola.m";"尼古拉";""
"cn_Nicolae.m";"尼古拉尼";""
"cn_Nicolae_Alexandru.m";"尼古拉尼-亞歷山德魯";""
"cn_Nicolas.m";"尼可拉斯";""
"cn_Nicolaus.m";"尼可勞斯";""
"cn_Nicole.f";"妮可";""
"cn_Nicolette.f";"妮珂萊特";""
"cn_Nicolo.m";"尼科洛";""
"cn_Niels.m";"尼爾斯";""
"cn_Nigel.m";"尼格爾";""
"cn_Nigelli.m";"尼格利";""
"cn_Nikephoros.m";"尼可波羅斯";""
"cn_Niketas.m";"尼克塔斯";""
"cn_Nikete.m";"尼科特";""
"cn_Nikodim.m";"尼克蒂姆";""
"cn_Nikola.m";"尼克拉";""
"cn_Nikolai.m";"尼科萊";""
"cn_Nikolaos.m";"尼科勞斯";""
"cn_Nikolas.m";"尼科拉斯";""
"cn_Nikolay.m";"尼克萊伊";""
"cn_Nikon.m";"尼康";""
"cn_Nikrai.m";"尼卡萊";""
"cn_Nikulitsa.m";"尼庫提薩";""
"cn_Nils.m";"尼約斯";""
"cn_Nilufer.f";"妮弗爾";""
"cn_Nilus.m";"尼魯斯";""
"cn_Nitona.f";"妮托娜";""
"cn_Nizam.m";"尼札姆";""
"cn_Nizar.m";"尼扎爾";""
"cn_Nizhan.m";"尼贊恩";""
"cn_Noder.m";"尼德";""
"cn_Noemie.f";"尼米耶";""
"cn_Nogai.m";"諾加伊";""
"cn_Noldo.m";"諾爾多";""
"cn_Nomulun.f";"諾穆倫";""
"cn_Noqai.m";"諾恰伊";""
"cn_Nordine.m";"諾爾汀";""
"cn_Norman.m";"諾曼";""
"cn_Nour.m";"諾爾";""
"cn_Noureddin.m";"諾雷汀";""
"cn_Nouri.m";"諾里";""
"cn_Novak.m";"諾瓦克";""
"cn_Nuala.f";"諾雅菈";""
"cn_Nuh.m";"諾赫";""
"cn_Nujayh.m";"諾亞赫";""
"cn_Nukdak.f";"諾卡達克";""
"cn_Nuno.m";"諾洛";""
"cn_Nur.f";"努爾";""
"cn_Nur.m";"怒爾";""
"cn_Nure.m";"努瑞";""
"cn_Nusrat.m";"努斯拉特";""
"cn_Nyyrikki.m";"尼力齊";""
"cn_Nzingha.f";"諾金哈";""
"cn_Oba.m";"歐巴";""
"cn_Oberto.m";"歐巴托";""
"cn_Obeyd.m";"歐巴德";""
"cn_Octavia.f";"歐塔維婭";""
"cn_Oddny.f";"歐德妮";""
"cn_Odile.f";"歐迪妮";""
"cn_Odilia.f";"奧迪莉雅";""
"cn_Odo.m";"歐多";""
"cn_Odola.f";"歐多拉";""
"cn_Odonel.m";"歐多尼";""
"cn_Oelsun.f";"奧爾森";""
"cn_Oenghus.m";"翁古斯";""
"cn_Ofeigr.m";"歐菲格";""
"cn_Ogedei.m";"窩闊臺";""
"cn_Oghul.f";"歐古爾";""
"cn_Ogier.m";"歐傑爾";""
"cn_Ogmund.m";"歐格穆德";""
"cn_Oin.m";"歐因";""
"cn_Okin.m";"歐欽";""
"cn_Okin_Barkhakh.m";"歐欽-巴爾卡克";""
"cn_Olaf.m";"歐拉夫";""
"cn_Olav.m";"歐拉弗";""
"cn_Olavi.m";"歐拉威";""
"cn_Oldegar.m";"歐德加";""
"cn_Ole.m";"歐雷";""
"cn_Oleg.m";"歐雷格";""
"cn_Olegario.m";"歐雷加里歐";""
"cn_Olena.f";"歐蕾娜";""
"cn_Olga.f";"歐嘉";""
"cn_Olgierd.m";"歐爾杰德";""
"cn_Oliver.m";"奧立佛";""
"cn_Olivia.f";"奧莉薇雅";""
"cn_Olivier.m";"奧立維爾";""
"cn_Oljatai.f";"歐加苔";""
"cn_Oljath.f";"歐佳絲";""
"cn_Oljeitu.m";"歐杰圖";""
"cn_Olof.m";"歐洛夫";""
"cn_Olvir.m";"歐維爾";""
"cn_Omar.m";"歐馬";""
"cn_Omara.m";"歐馬拉";""
"cn_Oncs.m";"翁克斯";""
"cn_Opir.m";"歐佩爾";""
"cn_Orabilia.f";"歐拉碧麗雅";""
"cn_Orabilis.f";"歐拉碧麗絲";""
"cn_Orbasz.m";"歐爾巴茨";""
"cn_Orda.m";"歐爾達";""
"cn_Ordelafo.m";"歐德拉弗";""
"cn_Ordono.m";"歐多諾";""
"cn_Ordu.f";"歐爾都";""
"cn_Oreakja.m";"歐瑞克加";""
"cn_Orfhlaith.f";"歐芙萊絲";""
"cn_Orghana.f";"歐嘉娜";""
"cn_Orhan.m";"歐爾罕";""
"cn_Oriel.f";"歐列爾";""
"cn_Orio.m";"歐立歐";""
"cn_Orlacan.f";"歐菈坎";""
"cn_Orlaith.f";"歐萊絲";""
"cn_Orlando.m";"奧蘭多";""
"cn_Orm.m";"歐爾姆";""
"cn_Orqina.f";"歐琪娜";""
"cn_Orsino.m";"歐西奧";""
"cn_Orti.m";"歐爾提";""
"cn_Ortlieb.m";"歐提雷布";""
"cn_Ortolf.m";"歐托爾夫";""
"cn_Osanna.f";"歐莎娜";""
"cn_Osbern.m";"奧斯本";""
"cn_Osbert.m";"奧斯伯特";""
"cn_Oscar.m";"奧斯卡";""
"cn_Osei.m";"奧賽";""
"cn_Oshin.m";"歐辛";""
"cn_Osman.m";"歐斯曼";""
"cn_Osmo.m";"奧斯莫";""
"cn_Osmundo.m";"奧斯穆多";""
"cn_Osorio.m";"奧梭里奧";""
"cn_Osprant.m";"奧斯普蘭特";""
"cn_Ostasio.m";"奧斯塔西歐";""
"cn_Osterhild.f";"奧絲特希德";""
"cn_Oswald.m";"奧斯瓦德";""
"cn_Otagho.m";"奧塔歐";""
"cn_Otak.m";"奧塔克";""
"cn_Otakar.m";"奧塔卡";""
"cn_Otchi.m";"歐特齊";""
"cn_Otes.m";"歐提斯";""
"cn_Othelhilde.f";"奧賽希爾德";""
"cn_Othman.m";"奧思曼";""
"cn_Othmane.m";"奧思曼恩";""
"cn_Othon.m";"奧松";""
"cn_Otmar.m";"奧特馬";""
"cn_Otnand.m";"奧特南德";""
"cn_Oton.m";"奧通";""
"cn_Otrok.m";"奧特洛克";""
"cn_Ottar.m";"歐塔爾";""
"cn_Ottaviano.m";"歐塔維亞諾";""
"cn_Ottilie.f";"歐特莉耶";""
"cn_Otto.m";"奧圖";""
"cn_Ottokar.m";"奧圖卡";""
"cn_Ottone.m";"奧通恩";""
"cn_Otz.m";"奧茲";""
"cn_Ouardia.f";"奧亞迪雅";""
"cn_Ouati.m";"奧亞提";""
"cn_Oussama.m";"奧薩瑪";""
"cn_Ovanes.m";"歐凡尼斯";""
"cn_Oveco.m";"歐維可";""
"cn_Owain.m";"奧萬因";""
"cn_Oways.m";"奧維斯";""
"cn_Ozbeg.m";"歐茲伯格";""
"cn_Ozseb.m";"歐茲賽布";""
"cn_Paavo.m";"帕弗";""
"cn_Padraig.m";"帕德拉格";""
"cn_Pahlavan.m";"帕拉凡";""
"cn_Pal.m";"佩爾";""
"cn_Pall.m";"帕爾";""
"cn_Palmeria.f";"帕梅莉雅";""
"cn_Panagiotis.m";"帕納裘提斯";""
"cn_Pandolfo.m";"潘多爾弗";""
"cn_Pandulf.m";"潘都爾夫";""
"cn_Pantaleon.m";"潘塔里昂";""
"cn_Panyit.m";"潘尼特";""
"cn_Paolo.m";"帕歐羅";""
"cn_Parandzem.f";"帕蘭德贊";""
"cn_Paraskeva.f";"帕拉絲克娃";""
"cn_Partho.f";"帕爾索";""
"cn_Pascal.m";"帕斯科";""
"cn_Paschal.m";"帕斯卡爾";""
"cn_Paschalis.m";"帕斯卡利斯";""
"cn_Paska.m";"帕斯卡";""
"cn_Pasqual.m";"帕斯奎爾";""
"cn_Pat.m";"帕特";""
"cn_Patricia.f";"派翠西雅";""
"cn_Patricius.m";"派崔修斯";""
"cn_Patrick.m";"派崔克";""
"cn_Patrika.m";"派崔卡";""
"cn_Patrikas.m";"派崔卡斯";""
"cn_Patrikei.m";"派崔凱伊";""
"cn_Paul.m";"保羅";""
"cn_Paula.f";"葆拉";""
"cn_Paulina.f";"寶琳娜";""
"cn_Pavle.m";"帕夫雷";""
"cn_Pavstos.m";"帕夫斯托斯";""
"cn_Payn.m";"佩恩";""
"cn_Peder.m";"佩德";""
"cn_Pedro.m";"佩卓";""
"cn_Peire.m";"佩瑞";""
"cn_Peires.m";"佩瑞斯";""
"cn_Pekko.m";"佩可";""
"cn_Pelayo.m";"佩拉尤";""
"cn_Pelfort.m";"佩爾弗特";""
"cn_Pellervo.m";"佩雷爾沃";""
"cn_Penota.f";"佩諾塔";""
"cn_Pepin.m";"丕平";""
"cn_Per.m";"培爾";""
"cn_Pera.f";"佩拉";""
"cn_Perceval.m";"帕席瓦爾";""
"cn_Percival.m";"帕西瓦爾";""
"cn_Pere.m";"佩雷";""
"cn_Pereyaslava.f";"佩瑞雅絲拉娃";""
"cn_Peris.m";"帕里斯";""
"cn_Perkko.m";"帕爾寇";""
"cn_Perot.m";"帕洛特";""
"cn_Perrin.m";"帕寧";""
"cn_Pertu.m";"帕耳圖";""
"cn_Pervane.m";"帕凡尼";""
"cn_Perweur.f";"帕薇爾";""
"cn_Peryf.m";"帕里夫";""
"cn_Petair.m";"佩泰爾";""
"cn_Petar.m";"佩塔爾";""
"cn_Peter.m";"彼得";""
"cn_Petka.f";"佩特卡";""
"cn_Petka.m";"佩特咖";""
"cn_Peto.m";"佩托";""
"cn_Petr.m";"佩特";""
"cn_Petras.m";"佩特拉斯";""
"cn_Petrislav.m";"佩崔斯拉夫";""
"cn_Petro.m";"佩特羅";""
"cn_Petrona.f";"佩特羅娜";""
"cn_Petronella.f";"佩特羅奈拉";""
"cn_Petronilla.f";"佩特羅妮拉";""
"cn_Petronille.f";"佩特羅妮兒";""
"cn_Petros.m";"佩特羅斯";""
"cn_Petru.m";"佩特魯";""
"cn_Petrucio.m";"佩特魯西歐";""
"cn_Petrus.m";"佩特魯斯";""
"cn_Pevela.f";"佩薇拉";""
"cn_Peveral.m";"佩烏伊拉爾";""
"cn_Peyronela.f";"佩羅奈拉";""
"cn_Pharadavla.m";"法拉達維拉";""
"cn_Pharen.m";"發倫";""
"cn_Philagatos.m";"費拉加托斯";""
"cn_Philaretos.m";"費拉瑞托斯";""
"cn_Philip.m";"菲利浦";""
"cn_Philippa.f";"菲麗芭";""
"cn_Philippe.m";"普立培";""
"cn_Philotheus.m";"普羅修斯";""
"cn_Phylip.m";"費立普";""
"cn_Picarda.f";"皮卡妲";""
"cn_Pierre.m";"皮耶";""
"cn_Pierre_Bernard.m";"皮耶-伯納德";""
"cn_Piet.m";"皮特";""
"cn_Pieter.m";"皮耶特";""
"cn_Pietro.m";"皮耶特羅";""
"cn_Pilartos.m";"彼拉托斯";""
"cn_Pilib.m";"彼利普";""
"cn_Pinamonte.m";"皮納蒙特";""
"cn_Piotr.m";"皮歐特";""
"cn_Piroska.f";"皮蘿絲卡";""
"cn_Pirro.m";"皮洛";""
"cn_Pius.m";"皮烏斯";""
"cn_Pjeter.m";"皮葉特";""
"cn_Plaisance.f";"普萊珊絲";""
"cn_Plazensa.f";"普拉贊莎";""
"cn_Plikys.m";"普立齊斯";""
"cn_Pohto.m";"波赫托";""
"cn_Ponce.m";"龐斯";""
"cn_Poncia.f";"彭茜婭";""
"cn_Pons.m";"彭斯";""
"cn_Poppo.m";"帕波";""
"cn_Portia.f";"波緹雅";""
"cn_Pos.m";"波斯";""
"cn_Pothos.m";"波托斯";""
"cn_Poukyik.m";"波齊克";""
"cn_Praxedes.f";"普拉席蒂絲";""
"cn_Precieuse.f";"普芮舒絲";""
"cn_Predislav.m";"普瑞迪斯拉夫";""
"cn_Predslava.f";"普芮德絲拉娃";""
"cn_Preljub.m";"普瑞留布";""
"cn_Presian.m";"普瑞西安";""
"cn_Preziosa.f";"普芮茲歐莎";""
"cn_Pribislaw.m";"普里比斯勞";""
"cn_Progon.m";"普羅貢";""
"cn_Prohor.m";"普羅霍爾";""
"cn_Prudentia.f";"普露德茜雅";""
"cn_Prydydd.m";"普利迪德";""
"cn_Przemysl.m";"普立茲米斯";""
"cn_Punik.m";"普尼克";""
"cn_Pyfog.f";"普弗格";""
"cn_Pyotr.m";"普歐特";""
"cn_Qaboos.m";"夸布斯";""
"cn_Qabus.m";"夸布思";""
"cn_Qada_an.m";"卡塔爾-安";""
"cn_Qaid.m";"夸德";""
"cn_Qalawun.m";"夸拉文";""
"cn_Qalidurit.m";"夸里都利特";""
"cn_Qamari.m";"夸馬里";""
"cn_Qara.m";"夸拉";""
"cn_Qariba.f";"夸莉芭";""
"cn_Qasem_e.m";"夸塞姆-耶";""
"cn_Qasim.m";"夸西姆";""
"cn_Qasmuna.f";"夸絲穆娜";""
"cn_Qatada.m";"夸塔妲";""
"cn_Qatadah.m";"夸塔哈";""
"cn_Qavam.m";"夸瓦姆";""
"cn_Qaymaqar.m";"奎馬夸爾";""
"cn_Qazi.m";"奎齊";""
"cn_Qizil.m";"齊吉爾";""
"cn_Qochar.m";"闊恰爾";""
"cn_Qoldaq.f";"闊達克";""
"cn_Qotb.m";"闊特布";""
"cn_Qotlogh.f";"闊特隆";""
"cn_Qu.m";"庫";""
"cn_Qudamah.m";"庫達馬";""
"cn_Qudu.m";"庫都";""
"cn_Quduka.m";"庫都卡";""
"cn_Qulpa.m";"庫爾帕";""
"cn_Qunchuqbal.m";"庫楚克巴";""
"cn_Qurumshi.m";"庫倫什";""
"cn_Qutlu.m";"庫特盧";""
"cn_Qutlugh.f";"庫特露";""
"cn_Qutluqqan.f";"庫特露恩";""
"cn_Qutui.f";"庫圖伊";""
"cn_Qutuqui.f";"庫圖琪";""
"cn_Qvarqvare.m";"奎瓦克瓦爾";""
"cn_Rabah.m";"拉巴哈";""
"cn_Rabodo.m";"拉伯多";""
"cn_Rachelle.f";"拉謝爾";""
"cn_Racibor.m";"拉席伯";""
"cn_Rad.m";"拉德";""
"cn_Radivoj.m";"拉第沃吉";""
"cn_Radiya.f";"菈迪雅";""
"cn_Rado.m";"拉多";""
"cn_Radoslav.m";"拉多斯拉夫";""
"cn_Radu.m";"拉杜";""
"cn_Radulf.m";"拉杜爾夫";""
"cn_Radulpho.m";"拉杜爾弗";""
"cn_Radvan.m";"拉德凡";""
"cn_Radvila.m";"拉德維拉";""
"cn_Radwan.m";"拉德萬";""
"cn_Rafael.m";"拉法爾";""
"cn_Raffaello.m";"拉法爾羅";""
"cn_Raghnait.f";"拉格奈特";""
"cn_Ragna.f";"拉格娜";""
"cn_Ragnal.m";"拉格納爾";""
"cn_Ragnall.m";"拉格納耳";""
"cn_Ragnar.m";"拉格納";""
"cn_Ragnfrid.f";"拉根芙蕾德";""
"cn_Ragnhild.f";"拉根希爾德";""
"cn_Ragnvald.m";"拉根瓦爾德";""
"cn_Rah.f";"拉赫";""
"cn_Raha.f";"拉哈";""
"cn_Rahman.m";"拉赫曼";""
"cn_Raibeart.m";"萊貝亞特";""
"cn_Raiktor.m";"萊克托";""
"cn_Raimbaud.m";"萊姆巴爾德";""
"cn_Raimon.m";"萊蒙";""
"cn_Raimondo.m";"萊蒙多";""
"cn_Rainald.m";"雷因納德";""
"cn_Rainautz.m";"雷因茨";""
"cn_Rainers.m";"雷納斯";""
"cn_Rainier.m";"雷尼爾";""
"cn_Rainulf.m";"雷努爾夫";""
"cn_Ralf.m";"拉爾弗";""
"cn_Ralph.m";"拉爾夫";""
"cn_Ramberto.m";"拉姆貝托";""
"cn_Ramiro.m";"拉米羅";""
"cn_Ramlah.f";"拉姆萊";""
"cn_Ramon.m";"拉蒙";""
"cn_Ramons.m";"拉蒙斯";""
"cn_Ramung.m";"拉穆格";""
"cn_Ramwold.m";"拉姆沃德";""
"cn_Ranald.m";"拉納德";""
"cn_Randal.m";"蘭道爾";""
"cn_Randulph.m";"倫道夫";""
"cn_Raniero.m";"蘭涅羅";""
"cn_Ranulf.m";"蘭努爾夫";""
"cn_Ranulphi.m";"蘭努爾菲";""
"cn_Raolf.m";"拉歐爾夫";""
"cn_Raoul.m";"拉歐爾";""
"cn_Raphael.m";"拉斐爾";""
"cn_Rapoto.m";"拉波托";""
"cn_Rashid.m";"拉什德";""
"cn_Rashida.f";"拉許妲";""
"cn_Raso.m";"拉索";""
"cn_Rati.m";"拉提";""
"cn_Ratiers.m";"拉提耶爾斯";""
"cn_Rawh.m";"拉伍";""
"cn_Rayhan.m";"瑞伊罕";""
"cn_Rayhana.f";"蕾哈娜";""
"cn_Rayko.m";"瑞可";""
"cn_Raymond.m";"雷蒙德";""
"cn_Raymonda.f";"蕾夢妲";""
"cn_Raymunda.f";"蕾穆妲";""
"cn_Raynald.m";"雷納德";""
"cn_Rayner.m";"雷奈";""
"cn_Rayya.f";"蕾雅";""
"cn_Raziya.f";"拉吉雅";""
"cn_Rbert.m";"拉伯特";""
"cn_Reamonn.m";"瑞亞蒙";""
"cn_Regina.f";"蕾吉娜";""
"cn_Reginald.m";"雷吉納";""
"cn_Reginar.m";"雷吉納爾";""
"cn_Regitze.f";"蕾姬姿";""
"cn_Reiambalts.m";"雷安巴爾茨";""
"cn_Reidar.m";"瑞達爾";""
"cn_Reinhard.m";"雷因哈德";""
"cn_Reinold.m";"雷因諾";""
"cn_Reiprecht.m";"雷普瑞特";""
"cn_Rene.m";"瑞內";""
"cn_Renier.m";"瑞尼爾";""
"cn_Renilde.f";"蕾妮爾蒂";""
"cn_Replys.m";"雷普利斯";""
"cn_Reposh.m";"瑞波什";""
"cn_Reynard.m";"瑞納德";""
"cn_Reynfred.m";"瑞因弗瑞德";""
"cn_Reynfrid.m";"瑞因弗利德";""
"cn_Reynold.m";"瑞諾德";""
"cn_Reynor.m";"瑞諾";""
"cn_Rhael.f";"拉耶爾";""
"cn_Rhanullt.f";"拉努爾特";""
"cn_Rhiryd.m";"瑞利德";""
"cn_Rhisiart.m";"利希亞特";""
"cn_Rhissa.m";"利薩";""
"cn_Rhiwallon.m";"利瓦隆";""
"cn_Rhodri.m";"羅德里";""
"cn_Rhun.m";"魯恩";""
"cn_Rhydderch.m";"瑞德克";""
"cn_Rhygyfarch.m";"瑞吉法爾克";""
"cn_Rhys.m";"瑞思";""
"cn_Ricals.m";"利卡爾斯";""
"cn_Ricartz.m";"利卡爾茨";""
"cn_Riccardo.m";"利卡多";""
"cn_Riccha.f";"莉恰";""
"cn_Richard.m";"理查德";""
"cn_Richarda.f";"莉察妲";""
"cn_Richardis.f";"莉察迪絲";""
"cn_Richart.m";"里察特";""
"cn_Richarte.m";"里察提";""
"cn_Richemaya.f";"莉榭瑪雅";""
"cn_Richenza.f";"莉泉札";""
"cn_Richgard.f";"莉琪嘉德";""
"cn_Richmond.m";"里奇蒙";""
"cn_Richolda.f";"莉秋妲";""
"cn_Richolf.m";"里楚夫";""
"cn_Rickard.m";"利卡德";""
"cn_Rickwald.m";"瑞克瓦爾德";""
"cn_Rihissa.f";"莉希莎";""
"cn_Rikard.m";"瑞卡德";""
"cn_Rikardis.f";"瑞卡迪絲";""
"cn_Rikissa.f";"莉琪莎";""
"cn_Rimbert.m";"利姆伯特";""
"cn_Rimgaile.f";"琳嘉莉耶";""
"cn_Rinalde.f";"莉娜爾德";""
"cn_Rinaldo.m";"雷納爾多";""
"cn_Ringala.f";"琳嘉菈";""
"cn_Ringaudas.m";"利高達斯";""
"cn_Ripsime.f";"莉普希姆";""
"cn_Riquers.m";"利奎爾斯";""
"cn_Rita.f";"麗塔";""
"cn_Rixa.f";"麗克薩";""
"cn_Rixeda.f";"麗塞妲";""
"cn_Riyad.m";"利雅得";""
"cn_Robert.m";"羅伯特";""
"cn_Roberto.m";"羅伯托";""
"cn_Robertz.m";"羅伯茲";""
"cn_Robin.m";"羅賓";""
"cn_Rodaidh.m";"羅戴德";""
"cn_Rodfos.m";"羅德弗斯";""
"cn_Rodrigo.m";"羅德里戈";""
"cn_Roe.m";"羅耶";""
"cn_Roen.m";"羅安";""
"cn_Rogaus.m";"羅高斯";""
"cn_Roger.m";"羅傑";""
"cn_Rogeri.m";"羅傑里";""
"cn_Rogers.m";"羅傑斯";""
"cn_Rogneda.f";"蘿妮妲";""
"cn_Rognvaldr.m";"羅根瓦爾德";""
"cn_Rogvolod.m";"羅格沃羅";""
"cn_Rogvolod_Vasiliy.m";"羅格沃羅-瓦希里";""
"cn_Rohese.f";"蘿希絲";""
"cn_Roland.m";"羅蘭";""
"cn_Rolf.m";"羅爾夫";""
"cn_Rollo.m";"羅洛";""
"cn_Rolv.m";"羅爾弗";""
"cn_Roman.m";"羅曼";""
"cn_Romano.m";"羅曼諾";""
"cn_Romanos.m";"羅曼諾斯";""
"cn_Romas.m";"羅馬斯";""
"cn_Romil.m";"羅米爾";""
"cn_Romolo.m";"羅莫羅";""
"cn_Roolb.m";"盧爾布";""
"cn_Rorik.m";"羅利克";""
"cn_Rosabella.f";"蘿莎貝拉";""
"cn_Rosalind.f";"蘿莎琳";""
"cn_Rosalinde.f";"蘿莎琳德";""
"cn_Rosamund.f";"蘿莎蒙";""
"cn_Rosamunde.f";"蘿莎蒙德";""
"cn_Rosana.f";"蘿莎娜";""
"cn_Rose.f";"蘿絲";""
"cn_Roselyne.f";"蘿絲琳";""
"cn_Rosmik.m";"羅斯米克";""
"cn_Rosmin.m";"羅斯明";""
"cn_Rosso.m";"羅索";""
"cn_Rostans.m";"羅斯坦斯";""
"cn_Rostislav.m";"羅斯提斯拉夫";""
"cn_Rotgeirs.m";"羅特傑爾斯";""
"cn_Rotpert.m";"羅特帕特";""
"cn_Roussel.m";"拉塞爾";""
"cn_Ruaidhri.m";"魯亞德利";""
"cn_Ruaidri.m";"魯亞德立";""
"cn_Rualon.m";"魯亞隆";""
"cn_Ruarc.m";"魯亞克";""
"cn_Rubea.f";"露碧雅";""
"cn_Ruben.m";"魯本";""
"cn_Rubroek.m";"魯布洛克";""
"cn_Rudabe.f";"露妲碧";""
"cn_Rudegar.m";"魯德加";""
"cn_Rudina.f";"露蒂娜";""
"cn_Rudolf.m";"魯道夫";""
"cn_Rudwan.m";"魯德萬";""
"cn_Rufus.m";"魯弗斯";""
"cn_Rugger.m";"魯格爾";""
"cn_Ruggiero.m";"魯吉耶洛";""
"cn_Ruhayma.f";"露海瑪";""
"cn_Ruklys.m";"魯克里斯";""
"cn_Rukn.m";"魯肯";""
"cn_Ruland.m";"魯蘭德";""
"cn_Rumayla.f";"露梅菈";""
"cn_Rumaythah.m";"魯梅薩";""
"cn_Rumi.m";"魯米";""
"cn_Rumpolt.m";"倫坡爾特";""
"cn_Rupeikis.m";"盧培齊斯";""
"cn_Ruprecht.m";"盧普雷克";""
"cn_Rurik.m";"盧立克";""
"cn_Rusa.f";"露莎";""
"cn_Rusko.m";"拉斯可";""
"cn_Rustam.m";"拉斯塔姆";""
"cn_Rusudan.f";"拉舒丹";""
"cn_Ruy.m";"盧伊";""
"cn_Rycardi.m";"利卡笛";""
"cn_Rychard.m";"瑞查德";""
"cn_Ryksa.f";"蕾克莎";""
"cn_Ryngalla.f";"蕾恩嘉菈";""
"cn_Ryngold.m";"瑞因戈德";""
"cn_Saadeddine.m";"薩德德丁";""
"cn_Saadi.m";"薩迪";""
"cn_Sabah.m";"薩巴";""
"cn_Sabbas.m";"薩巴斯";""
"cn_Sabbatina.f";"莎芭蒂娜";""
"cn_Sabine.f";"莎賓妮";""
"cn_Sabur.m";"薩布爾";""
"cn_Sadaqah.m";"薩達喀爾";""
"cn_Sadhbh.f";"薩德布";""
"cn_Sadiq.m";"薩迪克";""
"cn_Sadun.m";"薩敦";""
"cn_Saemundr.m";"薩耶穆德";""
"cn_Saer.m";"薩埃爾";""
"cn_Safiya.f";"莎菲雅";""
"cn_Safwan.m";"薩夫萬";""
"cn_Safwat.f";"薩夫瓦特";""
"cn_Sagmantia.m";"薩格曼提亞";""
"cn_Sahak.m";"薩哈克";""
"cn_Sahip.m";"薩希普";""
"cn_Sahnun.m";"薩努恩";""
"cn_Said.m";"薩易德";""
"cn_Sajah.f";"莎佳";""
"cn_Sajr.m";"薩杰";""
"cn_Sakra.f";"莎克菈";""
"cn_Sal.m";"撒爾";""
"cn_Saladin.m";"撒拉丁";""
"cn_Salah.m";"撒拉";""
"cn_Salama.m";"撒拉馬";""
"cn_Salamon.m";"撒拉蒙";""
"cn_Salar.m";"撒拉爾";""
"cn_Salem.m";"撒勒姆";""
"cn_Salemma.m";"撒雷馬";""
"cn_Salih.m";"撒立赫";""
"cn_Salim.m";"撒林";""
"cn_Salma.f";"莎爾瑪";""
"cn_Salome.f";"莎樂美";""
"cn_Salomea.f";"莎樂美雅";""
"cn_Salomon.m";"撒羅蒙";""
"cn_Salsal.f";"莎莎";""
"cn_Saltaro.m";"撒塔羅";""
"cn_Saltuk.m";"撒圖克";""
"cn_Salusio.m";"薩魯希歐";""
"cn_Salustio.m";"薩魯斯提歐";""
"cn_Salvador.m";"薩爾瓦多";""
"cn_Salvadore.m";"薩瓦多爾";""
"cn_Salvestro.m";"薩維斯特洛";""
"cn_Salvucio.m";"薩伍希歐";""
"cn_Sambor.m";"桑伯爾";""
"cn_Samdzivari.m";"桑吉瓦里";""
"cn_Samir.m";"薩米爾";""
"cn_Sampsa.m";"桑普薩";""
"cn_Samra.f";"莎姆拉";""
"cn_Samuel.m";"薩繆爾";""
"cn_Samuil.m";"山姆伊";""
"cn_Samur.f";"莎穆爾";""
"cn_Sanad.f";"莎娜德";""
"cn_Sanc.m";"山克";""
"cn_Sancha.f";"桑嘉";""
"cn_Sanchia.f";"桑琪雅";""
"cn_Sancho.m";"桑喬";""
"cn_Sandaki.m";"桑達齊";""
